iter	Passed	Remaining
318	281060	159473
319	281990	158619
320	283000	157810
321	284000	156993
322	285115	156239
323	286093	155408
324	287018	154548
325	288100	153771
326	289042	152918
327	290088	152119
328	291147	151326
329	292161	150507
330	293154	149676
331	294243	148894
332	295189	148038
333	296148	147187
334	297269	146416
335	298554	145722
336	299462	144843
337	300316	143938
338	301478	143179
339	302378	142295
340	303403	141469
341	304101	140491
342	305148	139674
343	306076	138802
344	307113	137978
345	308026	137098
346	309163	136317
347	310226	135501
348	311436	134747
349	312389	133881
350	313553	133103
351	314640	132292
352	315624	131435
353	316533	130547
354	317502	129683
355	318311	128755
356	319330	127910
357	320426	127096
358	321232	126166
359	322151	125281
360	322990	124364
361	323898	123475
362	324997	122657
363	325992	121799
364	326912	120912
365	327898	120050
366	328674	119110
367	329626	118235
368	330947	117490
369	332104	116685
370	333155	115841
371	334101	114959
372	335025	114070
373	336253	113283
374	337312	112437
375	338410	111603
376	339581	110791
377	340430	109874
378	341502	109028
379	342461	108145
380	343636	107330
381	344705	106479
382	345640	105587
383	346611	104705
384	347502	103799
385	348282	102860
386	349191	101960
387	350152	101074
388	351317	100247
389	352337	99377
390	353367	98509
391	354333	97622
392	355365	96753
393	356448	95897
394	357346	94990
395	358315	94103
396	359241	93203
397	360061	92277
